station,time,nied
16800,2021-09-23,-1.0
16800,2021-09-24,-1.0
16800,2021-09-25,-1.0
16800,2021-09-26,0.1
16800,2021-09-27,1.0
16800,2021-09-28,-1.0
16800,2021-09-29,27.7
16800,2021-09-30,-1.0
16800,2021-10-01,-1.0
16800,2021-10-02,-1.0
16800,2021-10-03,-1.0
16800,2021-10-04,-1.0
16800,2021-10-05,-1.0
16800,2021-10-06,7.4
16800,2021-10-07,4.7
16800,2021-10-08,-1.0
16800,2021-10-09,0.0
16800,2021-10-10,0.5
16800,2021-10-11,-1.0
16800,2021-10-12,1.4
16800,2021-10-13,0.6
16800,2021-10-14,0.0
16800,2021-10-15,-1.0
16800,2021-10-16,-1.0
16800,2021-10-17,-1.0
16800,2021-10-18,-1.0
16800,2021-10-19,-1.0
16800,2021-10-20,-1.0
16800,2021-10-21,7.7
16800,2021-10-22,-1.0
16800,2021-10-23,-1.0
16800,2021-10-24,-1.0
16800,2021-10-25,-1.0
16800,2021-10-26,-1.0
16800,2021-10-27,-1.0
16800,2021-10-28,-1.0
16800,2021-10-29,-1.0
16800,2021-10-30,-1.0
16800,2021-10-31,-1.0
16800,2021-11-01,15.1
16800,2021-11-02,0.6
16800,2021-11-03,2.1
16800,2021-11-04,0.1
16800,2021-11-05,-1.0
16800,2021-11-06,-1.0
16800,2021-11-07,0.4
16800,2021-11-08,-1.0
